id,title,release_date,release_year,runtime,budget,revenue,vote_average,vote_count,popularity,genres,profit,roi,primary_genre,era
263115,Logan,2017-02-28,2017,137,97000000,619021436,7.819,19993,15.974,"['Action', 'Drama', 'Science Fiction']",522021436,5.381664288659794,Action,pre_covid
399366,Marrowbone,2017-10-27,2017,111,8000000,12294931,7.271,1744,15.3826,"['Thriller', 'Horror', 'Mystery']",4294931,0.536866375,Thriller,pre_covid
321612,Beauty and the Beast,2017-03-16,2017,129,160000000,1266115964,6.969,15844,12.1482,"['Family', 'Fantasy', 'Romance']",1106115964,6.913224775,Family,pre_covid
419680,Daddy's Home 2,2017-11-09,2017,100,69000000,180613180,6.31,2659,11.3132,['Comedy'],111613180,1.6175823188405798,Comedy,pre_covid
284053,Thor: Ragnarok,2017-10-02,2017,131,180000000,855301806,7.583,21564,11.1645,"['Action', 'Adventure', 'Science Fiction', 'Comedy']",675301806,3.7516767,Action,pre_covid
419430,Get Out,2017-02-24,2017,104,4500000,255407969,7.621,18357,10.9885,"['Mystery', 'Thriller', 'Horror']",250907969,55.757326444444445,Mystery,pre_covid
268531,Captain Underpants: The First Epic Movie,2017-06-01,2017,89,38000000,125427681,6.267,1307,10.8242,"['Family', 'Comedy', 'Animation', 'Science Fiction']",87427681,2.300728447368421,Family,pre_covid
339403,Baby Driver,2017-06-28,2017,113,34000000,226945087,7.445,16423,10.8046,"['Action', 'Crime']",192945087,5.6748555,Action,pre_covid
339259,The Man with the Iron Heart,2017-05-25,2017,120,32679734,4412639,6.555,800,10.7929,"['War', 'Action', 'History', 'Thriller']",-28267095,-0.8649732277502626,War,pre_covid
316029,The Greatest Showman,2017-12-20,2017,105,84000000,459066134,7.87,9828,10.7061,['Drama'],375066134,4.4650730238095235,Drama,pre_covid
339964,Valerian and the City of a Thousand Planets,2017-07-19,2017,137,177200000,225973340,6.629,7787,10.6764,"['Adventure', 'Science Fiction', 'Action']",48773340,0.27524458239277655,Adventure,pre_covid
398818,Call Me by Your Name,2017-07-28,2017,132,3500000,43143046,8.1,12510,10.6224,"['Romance', 'Drama']",39643046,11.32658457142857,Romance,pre_covid
